1世代目
0.9703193762639711 17.0	1.4063865628773642 18.0
0.9703193762639711 0.0	1.2098933429873788 30.0
0.9703193762639711 0.0	0.9703193762639715 27.0
0.9703193762639711 0.0	0.9703193762639715 27.0
0.9703193762639711 17.0	1.2098933429873788 18.0
0.9951690590504771 0.0	0.9703193762639715 27.0
0.0 17.0	1.2098933429873788 18.0
1.0442232575669759 0.0	0.9703193762639715 18.0
0.9703193762639711 0.0	1.2098933429873788 27.0
0.13446485721631052 0.0	0.9703193762639715 18.0
4世代目
1.2068906114719609 19.0	1.4063865628773642 20.0
1.2068906114719609 2.0	1.1301703664616236 20.0
1.0442232575669759 2.0	1.2098933429873788 20.0
1.0442232575669759 2.0	1.4063865628773642 20.0
1.0442232575669759 2.0	1.2098933429873788 20.0
1.0442232575669759 19.0	1.4063865628773642 30.0
1.2068906114719609 19.0	1.2098933429873788 29.0
1.0442232575669759 19.0	1.2098933429873788 20.0
1.0442232575669759 19.0	1.2098933429873788 30.0
1.0442232575669759 2.0	1.2098933429873788 20.0
1.0442232575669759 0.0	1.2098933429873788 4.0
1.0442232575669759 0.0	1.378677160740677 20.0
1.0442232575669759 21.0	1.0236358784826591 20.0
1.0442232575669759 2.0	0.9703193762639715 29.0
1.0442232575669759 19.0	1.1301703664616236 30.0
1.0442232575669759 2.0	1.4063865628773642 30.0
0.9703193762639711 2.0	1.2098933429873788 20.0
1.2068906114719609 2.0	1.2098933429873788 4.0
1.0442232575669759 2.0	1.2098933429873788 20.0
1.2068906114719609 19.0	1.4063865628773642 20.0
1.0442232575669759 2.0	1.2098933429873788 30.0
1.0442232575669759 2.0	1.2098933429873788 30.0
1.0442232575669759 2.0	1.2098933429873788 20.0
1.0442232575669759 2.0	1.4063865628773642 20.0
1.0442232575669759 2.0	1.378677160740677 30.0
1.0442232575669759 19.0	0.9602839723885732 20.0
1.0442232575669759 0.0	1.2098933429873788 30.0
1.0442232575669759 19.0	1.1301703664616236 20.0
1.0442232575669759 2.0	1.2098933429873788 30.0
1.0442232575669759 0.0	1.1301703664616236 20.0
5世代目
1.0442232575669759 7.0	1.2098933429873788 30.0
1.0442232575669759 7.0	1.2098933429873788 25.0
1.2068906114719609 3.0	1.2098933429873788 30.0
1.0442232575669759 3.0	1.2098933429873788 30.0
1.2068906114719609 3.0	1.2098933429873788 30.0
1.2068906114719609 3.0	1.2098933429873788 30.0
1.2068906114719609 7.0	1.4063865628773642 30.0
1.2068906114719609 3.0	1.4063865628773642 30.0
1.0442232575669759 3.0	1.4063865628773642 30.0
1.2068906114719609 3.0	1.2098933429873788 30.0
1.0442232575669759 3.0	1.2098933429873788 30.0
1.0442232575669759 3.0	1.2098933429873788 30.0
1.1157945745614515 3.0	1.4063865628773642 1.0
1.0442232575669759 3.0	1.5177253129653339 1.0
1.2068906114719609 3.0	1.2098933429873788 25.0
1.0442232575669759 3.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.0442232575669759 7.0	1.2098933429873788 30.0
1.2068906114719609 3.0	1.3540194608920664 30.0
1.0442232575669759 7.0	1.2098933429873788 30.0
1.2013103643812395 3.0	1.2098933429873788 30.0
1.2068906114719609 3.0	1.2098933429873788 30.0
1.0442232575669759 3.0	1.2098933429873788 30.0
1.0442232575669759 3.0	1.378677160740677 30.0
1.2068906114719609 3.0	1.4063865628773642 30.0
1.0442232575669759 3.0	1.2098933429873788 0.0
1.0442232575669759 3.0	1.4305666914694402 30.0
1.2068906114719609 3.0	1.2098933429873788 25.0
1.0442232575669759 3.0	1.1378246190155472 30.0
1.2068906114719609 3.0	1.2098933429873788 25.0
6世代目
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4135761048406252 30.0
1.2068906114719609 1.0	1.378677160740677 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
0.7756790085927717 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4542737322457657 30.0
0.8749456105701109 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.3540194608920664 30.0
1.0857299277278585 0.0	1.1604670133686557 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.5177253129653339 30.0
1.2068906114719609 1.0	1.3540194608920664 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.0442232575669759 0.0	1.2098933429873788 30.0
1.2013103643812395 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.3343330484286129 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2013103643812395 0.0	0.886927912683621 16.0
1.2068906114719609 1.0	1.2673917481185115 30.0
7世代目
1.2013103643812395 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.3343330484286129 30.0
1.2068906114719609 2.0	0.9858864109604979 30.0
0.9459782078815343 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
0.5335303728964697 2.0	1.378677160740677 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2013103643812395 2.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2013103643812395 2.0	1.4063865628773642 30.0
1.2013103643812395 1.0	1.2098933429873788 4.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
0.7630542530504378 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4135761048406252 30.0
1.2068906114719609 2.0	1.2098933429873788 2.0
1.2068906114719609 2.0	1.2098933429873788 30.0
8世代目
0.9999822734998316 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4135761048406252 30.0
1.2068906114719609 1.0	1.4135761048406252 3.0
1.2068906114719609 0.0	0.7454781966614679 30.0
0.5537679834424617 1.0	1.4063865628773642 30.0
1.1935636773221465 1.0	1.3780048598188166 30.0
0.7951264128203265 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2013103643812395 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2013103643812395 1.0	1.2098933429873788 30.0
1.0986136904445782 1.0	1.2098933429873788 30.0
1.2013103643812395 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2013103643812395 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.3343330484286129 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.3343330484286129 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2013103643812395 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	0.9603003248526101 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
9世代目
1.2068906114719609 2.0	1.4971103216744241 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.062919641831853 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.2098933429873788 1.0
1.0986136904445782 0.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.3780048598188166 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2013103643812395 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2013103643812395 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.3343330484286129 30.0
1.077037960563685 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.205039633067753 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.0986136904445782 2.0	1.4135761048406252 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.3395303977230575 30.0
1.2013103643812395 2.0	1.4063865628773642 2.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.1451295528167638 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
10世代目
1.2068906114719609 0.0	1.4063865628773642 30.0
1.0986136904445782 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2033601493081016 0.0	1.3395303977230575 30.0
1.2068906114719609 0.0	1.3780048598188166 30.0
